2:236;156;61;21,61,853,240,5,4
2:74;247;162;935,749,139,649,10,742
2:20;153;126;740,270,105,455,145,537
0:110;151;100;869,745,128,1
1:12;223;238;139,667,719,97
2:145;53;200;484,397,154,87,375,685
0:195;51;37;16,552,944,69
0:35;2;199;2,392,775,231
2:19;218;54;393,83,657,405,513,59
2:201;104;137;798,180,635,15,447,201
1:154;148;122;337,503,287,75
1:175;47;211;745,727,266,2
1:197;182;161;975,374,44,67
2:0;202;170;179,79,438,743,574,542
2:28;64;76;112,276,115,90,734,632
2:79;182;41;143,911,753,263,49,499
2:245;193;219;369,1008,889,273,435,37
0:172;144;11;194,606,668,0
2:6;217;188;47,160,159,765,340,310
1:85;213;56;322,611,628,61
2:78;165;134;121,166,330,312,744,164
2:45;226;173;671,1001,312,177,142,387
2:63;100;164;922,367,211,348,237,336
1:49;129;191;593,656,273,62
0:187;60;177;832,471,157,256
2:41;39;168;462,635,634,209,336,74
2:229;118;112;558,797,601,423,339,312
1:227;225;175;439,411,389,91
1:217;236;25;761,622,25,37
1:170;125;148;616,61,36,631
2:19;118;202;220,180,1009,697,554,444
0:157;188;111;359,715,156,44
1:71;226;252;991,337,27,75
0:121;99;194;816,121,183,509
2:250;201;201;211,11,494,609,17,54
